"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW16-0096","한식/중식/일식","전통음식","한식 일반","곰바위","곰바위","서울특별시","강남구","삼성1동"
"BE_IW16-0097","한식/중식/일식","전통음식","한식 일반","곰솥집","곰솥집","서울특별시","중구","명동"
"BE_IW16-0098","한식/중식/일식","전통음식","한식 일반","곰탕집","곰탕집","서울특별시","성북구","동선동"
"BE_IW16-0099","한식/중식/일식","전통음식","한식 일반","공원가든","공원가든","서울특별시","구로구","구로5동"
"BE_IW16-0100","한식/중식/일식","전통음식","한식 일반","공원산장","공원산장","서울특별시","강북구","우이동"
"BE_IW16-0101","한식/중식/일식","전통음식","한식 일반","공주집","공주집","서울특별시","노원구","상계1동"
"BE_IW16-0102","한식/중식/일식","전통음식","한식 일반","광양불고기","광양불고기","서울특별시","양천구","신월4동"
"BE_IW16-0103","한식/중식/일식","전통음식","한식 일반","광양불고기","광양불고기","서울특별시","송파구","석촌동"
"BE_IW16-0104","한식/중식/일식","전통음식","한식 일반","광양불고기","광양불고기","서울특별시","서초구","반포4동"
"BE_IW16-0105","한식/중식/일식","전통음식","한식 일반","광양불고기/본가","광양불고기본가","서울특별시","강남구","대치2동"
"BE_IW16-0106","한식/중식/일식","전통음식","한식 일반","광화문집","광화문집","서울특별시","종로구","사직동"
"BE_IW16-0107","한식/중식/일식","전통음식","한식 일반","구운몽","구운몽","서울특별시","강남구","역삼1동"
"BE_IW16-0108","한식/중식/일식","전통음식","한식 일반","국수집","국수집","서울특별시","금천구","독산1동"
"BE_IW16-0109","한식/중식/일식","전통음식","한식 일반","국시집","국시집","서울특별시","성북구","성북동"
"BE_IW16-0110","한식/중식/일식","전통음식","한식 일반","국화정원","국화정원","서울특별시","성북구","성북동"
"BE_IW16-0111","한식/중식/일식","전통음식","한식 일반","굴사냥","굴사냥","서울특별시","영등포구","영등포본동"
"BE_IW16-0112","한식/중식/일식","전통음식","한식 일반","굿모닝","굿모닝","서울특별시","송파구","석촌동"
"BE_IW16-0113","한식/중식/일식","전통음식","한식 일반","궁","궁","서울특별시","동대문구","이문1동"
"BE_IW16-0114","한식/중식/일식","전통음식","한식 일반","궁연/청담점","궁연청담점","서울특별시","강남구","청담동"
"BE_IW16-0115","한식/중식/일식","전통음식","한식 일반","궁중오리","궁중오리","서울특별시","송파구","거여1동"
"BE_IW16-0116","한식/중식/일식","전통음식","한식 일반","그린","그린","서울특별시","서대문구","홍제1동"
"BE_IW16-0117","한식/중식/일식","전통음식","한식 일반","그린하우스","그린하우스","서울특별시","종로구","평창동"
"BE_IW16-0118","한식/중식/일식","전통음식","한식 일반","금강산","금강산","서울특별시","동대문구","이문1동"
"BE_IW16-0119","한식/중식/일식","전통음식","한식 일반","금강산","금강산","서울특별시","강남구","논현2동"
"BE_IW16-0120","한식/중식/일식","전통음식","한식 일반","금강산","금강산","서울특별시","마포구","아현동"
"BE_IW16-0121","한식/중식/일식","전통음식","한식 일반","금강산감자탕","금강산감자탕","서울특별시","강동구","암사1동"
"BE_IW16-0122","한식/중식/일식","전통음식","한식 일반","금강산감자탕","금강산감자탕","서울특별시","용산구","청파동"
